,SLW-2019LS,group
ER049,1.54,training
ER131,1.38,training
ER019,1.52,training
ER007,1.48,training
ER058,1.78,training
ER308,1.7,training
ER263,1.96,training
ER358,1.82,training
ER380,1.8,training
ER030,1.06,training
ER314,1.82,training
ER011,1.42,training
ER323,1.6,training
ER223,1.8,training
ER214,1.78,training
ER266,1.54,training
ER232,1.88,training
ER145,1.5,training
ER428,1.62,training
ER169,1.48,training
ER126,1.18,training
ER008,1.42,training
ER173,1.6,training
ER012,1.26,training
ER392,1.24,training
ER353,1.48,training
ER200,1.38,training
ER413,1.74,training
ER148,1.32,training
ER161,1.14,training
ER206,1.42,training
ER029,1.2,training
ER149,1.24,training
ER437,1.76,training
ER321,1.62,training
ER056,1.46,training
ER042,1.44,training
ER094,1.62,training
ER302,1.5,training
ER016,1.8,training
ER385,1.38,training
ER099,1.52,training
ER288,1.54,training
ER130,1.34,training
ER090,1.56,training
ER033,1.4,training
ER259,1.58,training
ER389,2.02,training
ER124,1.18,training
ER222,1.56,training
ER227,1.46,training
ER352,1.52,training
ER096,1.42,training
ER123,1.3,training
ER405,1.32,training
ER408,1.48,training
ER224,1.54,training
ER034,1.66,training
ER338,1.34,training
ER121,1.5,training
ER052,1.38,training
ER261,1.36,training
ER398,1.42,training
ER060,1.26,training
ER057,1.08,training
ER104,1.4,training
ER188,1.66,training
ER257,1.26,training
ER176,1.76,training
ER036,1.32,training
ER070,1.44,training
ER026,1.28,training
ER281,1.34,training
ER225,1.5,training
ER038,1.18,training
ER384,1.38,training
ER435,1.5,training
ER024,1.38,training
ER129,1.48,training
ER374,1.76,training
ER103,1.38,training
ER082,1.76,training
ER111,1.48,training
ER351,1.64,training
ER207,1.48,training
ER440,1.72,training
ER092,1.42,training
ER230,1.98,training
ER095,1.58,training
ER301,1.78,training
ER001,1.62,training
ER400,1.5,training
ER193,1.7,training
ER168,1.52,training
ER154,1.44,training
ER170,1.54,training
ER109,1.44,training
ER183,1.62,training
ER328,1.42,training
ER313,1.48,training
ER336,1.56,training
ER382,1.32,validation
ER237,1.42,validation
ER252,1.52,validation
ER087,1.28,validation
ER355,1.94,validation
ER091,1.58,validation
ER255,1.08,validation
ER373,1.64,validation
ER009,1.32,validation
ER203,1.48,validation
ER196,1.58,validation
ER431,1.62,validation
ER386,1.64,validation
ER371,1.82,validation
ER191,1.62,validation
ER101,1.54,validation
ER407,1.46,validation
ER045,1.56,validation
ER406,1.22,validation
ER268,1.44,validation
ER166,1.22,validation
ER112,1.34,validation
ER073,1.34,validation
ER416,1.52,validation
ER341,1.76,validation
ER422,1.5,validation
ER138,1.58,validation
ER283,1.94,validation
ER190,1.52,validation
ER216,1.64,validation
ER325,1.58,validation
