,SN-2019LS,group
ER378,9.6,training
ER216,8.6,training
ER423,11.6,training
ER033,10.6,training
ER182,10.8,training
ER188,10.0,training
ER165,12.0,training
ER125,13.2,training
ER226,11.6,training
ER199,8.2,training
ER247,9.8,training
ER399,13.4,training
ER136,17.8,training
ER264,9.33333333333333,training
ER128,12.6666666666667,training
ER093,11.8,training
ER064,21.8,training
ER251,7.5,training
ER027,10.4,training
ER384,11.0,training
ER044,10.2,training
ER124,15.8,training
ER368,11.8,training
ER414,14.6,training
ER198,12.4,training
ER405,14.0,training
ER135,12.4,training
ER007,11.8,training
ER236,9.8,training
ER232,8.2,training
ER376,11.4,training
ER351,10.4,training
ER409,18.75,training
ER436,11.0,training
ER280,11.0,training
ER349,10.6,training
ER366,9.8,training
ER085,9.0,training
ER283,8.8,training
ER294,10.8,training
ER035,13.4,training
ER218,8.4,training
ER422,12.4,training
ER162,9.8,training
ER254,9.0,training
ER028,11.6,training
ER155,12.8,training
ER074,14.6,training
ER238,10.0,training
ER311,9.8,training
ER167,7.0,training
ER148,10.6,training
ER296,9.8,training
ER215,8.83333333333333,training
ER120,8.8,training
ER026,12.8,training
ER380,14.4,training
ER189,10.3333333333333,training
ER374,10.8,training
ER018,12.8,training
ER002,21.8,training
ER244,11.6,training
ER130,13.4,training
ER041,19.6,training
ER273,17.6,training
ER269,8.6,training
ER319,10.0,training
ER357,8.6,training
ER043,10.4,training
ER112,15.8,training
ER381,13.2,training
ER393,17.8,training
ER012,15.2,training
ER310,9.8,training
ER076,10.6,training
ER154,12.6,training
ER327,12.0,training
ER266,8.0,training
ER086,14.4,training
ER181,7.8,training
ER355,10.2,training
ER286,7.66666666666667,training
ER342,14.2,training
ER008,7.4,training
ER029,14.0,training
ER017,14.2,training
ER094,10.6666666666667,training
ER090,11.6,training
ER279,10.0,training
ER432,12.1666666666667,training
ER344,9.2,training
ER425,12.2,training
ER259,6.6,training
ER394,14.25,training
ER079,12.4,training
ER316,8.0,training
ER186,9.6,training
ER153,12.4,training
ER427,11.4,training
ER032,15.4,training
ER081,14.0,training
ER360,8.4,training
ER202,8.2,training
ER437,12.6,training
ER220,11.6,training
ER346,12.8,training
ER389,7.66666666666667,training
ER082,9.6,training
ER193,11.4,training
ER048,12.6,training
ER321,8.2,training
ER330,9.83333333333333,validation
ER412,11.0,validation
ER009,13.8,validation
ER114,11.8,validation
ER133,11.8,validation
ER146,17.4,validation
ER203,8.6,validation
ER075,7.6,validation
ER392,21.8,validation
ER052,11.8,validation
ER057,13.2,validation
ER386,14.2,validation
ER121,17.0,validation
ER183,13.4,validation
ER371,10.6,validation
ER178,11.4,validation
ER191,11.0,validation
ER144,14.0,validation
ER440,10.1666666666667,validation
ER281,9.2,validation
ER006,9.75,validation
ER268,10.8,validation
ER158,12.2,validation
ER200,11.4,validation
ER396,10.8,validation
ER222,8.2,validation
ER105,16.4,validation
ER160,7.4,validation
ER228,13.2,validation
ER174,6.8,validation
ER313,12.6,validation
ER323,9.8,validation
ER401,12.2,validation
ER430,10.4,validation
ER051,13.2,validation
ER150,15.0,validation
ER262,7.4,validation
ER347,12.4,validation
ER314,9.4,validation
ER253,6.33333333333333,validation
ER223,10.4,validation
ER317,11.6666666666667,validation
ER403,17.5,validation
