,EW,group
MG_1398,82.96673702,training
MG_178,91.35125189,training
MG_168,107.601572,training
MG_1458,115.426087,training
MG_837,72.14351284,training
MG_1283,85.25447861,training
MG_729,85.63770436,training
MG_771,90.12802627,training
MG_726,82.97189831,training
MG_521,86.399918,training
MG_983,66.9073846,training
MG_872,113.6080227,training
MG_925,90.06609079,training
MG_215,89.96544565,training
MG_134,105.8286691,training
MG_955,75.7435123,training
MG_188,108.6002816,training
MG_1439,80.61576963,training
MG_216,120.6480217,training
MG_1042,77.16802822,training
MG_1330,87.75641372,training
MG_1475,114.8557645,training
MG_905,77.86222166,training
MG_686,78.72802798,training
MG_858,81.31770501,training
MG_1331,100.5177021,training
MG_1026,87.64695964,training
MG_1473,89.00286514,training
MG_1506,77.18351208,training
MG_990,76.28157674,training
MG_52,106.7422173,training
MG_862,103.7460887,training
MG_706,108.706088,training
MG_1319,76.15383482,training
MG_247,82.28286616,training
MG_670,105.4028627,training
MG_491,137.3158873,training
MG_104,89.0751232,training
MG_253,91.36157447,training
MG_560,91.08028419,training
MG_932,63.18609484,training
MG_714,76.62609281,training
MG_1410,86.82405902,training
MG_454,97.11512199,training
MG_1067,59.81061147,training
MG_1487,77.15254435,training
MG_135,102.4531857,training
MG_1291,80.76028574,training
MG_804,95.09318681,training
MG_1406,104.8996369,training
MG_1136,107.5318946,training
MG_680,80.0660923,training
MG_429,97.46738,training
MG_496,100.8118956,training
MG_598,97.15383166,training
MG_293,97.79254124,training
MG_919,113.7202808,training
MG_911,84.2338336,training
MG_594,66.62351367,training
MG_1253,105.0222176,training
MG_420,66.28802985,training
MG_1423,78.32361998,training
MG_1086,107.8957655,training
MG_1481,92.16157435,training
MG_785,94.92028361,training
MG_440,94.26221919,training
MG_1030,71.82609354,training
MG_1064,116.1663682,training
MG_378,94.70192022,training
MG_339,83.85189818,training
MG_539,71.33060974,training
MG_1400,114.4996355,training
MG_667,116.0841514,training
MG_1493,114.5925387,training
MG_754,107.1964108,training
MG_1256,95.26867065,training
MG_114,91.67641313,training
MG_975,80.93835023,training
MG_1053,110.9538296,training
MG_704,95.18996099,training
MG_1079,92.61060653,training
MG_1216,100.4340892,training
MG_964,126.0815692,training
MG_641,107.841572,training
MG_1080,90.34092946,training
MG_604,117.5964092,training
MG_700,67.4944201,training
MG_843,67.12347059,training
MG_269,95.91899313,training
MG_1277,93.15254195,training
MG_695,90.46709285,training
MG_586,63.42867544,training
MG_538,119.3151186,training
MG_842,79.20415694,training
MG_404,86.05189785,training
MG_1105,95.37705773,training
MG_730,103.5370565,training
MG_417,85.95383335,training
MG_1003,84.75512385,training
MG_1225,99.80028288,training
MG_985,85.1731883,training
MG_457,78.48415705,training
MG_159,89.38480057,training
MG_346,86.42222037,training
MG_1197,105.0751208,training
MG_1215,80.26480194,training
MG_767,70.29319054,training
MG_220,110.7060877,training
MG_1233,114.9388442,training
MG_1491,75.06222208,training
MG_687,114.8836354,training
MG_627,98.08286378,training
MG_170,106.7267334,training
MG_654,86.93834933,training
MG_278,81.49447918,training
MG_1100,116.4712481,training
MG_921,117.6212343,training
MG_1262,84.00931751,training
MG_282,77.58609267,training
MG_1228,103.598992,training
MG_947,92.35237916,training
MG_849,77.53447977,training
MG_239,114.4067323,training
MG_873,95.07566953,training
MG_917,92.12544532,training
MG_683,114.4893129,training
MG_283,75.10867369,training
MG_503,112.3628616,training
MG_1245,83.1427432,training
MG_1224,69.20415845,training
MG_1259,134.5822131,training
MG_978,124.2351179,training
MG_1166,96.77060591,training
MG_1308,105.5293143,training
MG_628,83.56286596,training
MG_1279,72.75125469,training
MG_774,93.44157416,training
MG_645,99.000283,training
MG_241,78.49189898,training
MG_1448,85.85963981,training
MG_231,118.9589897,training
MG_825,62.70221229,training
MG_630,117.5912479,training
MG_701,89.41576831,training
MG_182,88.08931689,training
MG_542,108.5228622,training
MG_533,93.93189666,training
MG_1124,111.2660876,training
MG_887,111.3254424,training
MG_1167,81.79223307,training
MG_529,94.62221914,training
MG_455,111.139636,training
MG_1255,102.7241534,training
MG_321,96.05447699,training
MG_362,98.7989927,training
MG_1411,83.56673693,training
MG_616,56.85034821,training
MG_250,79.8415762,training
MG_759,78.3254474,training
MG_64,68.72931981,training
MG_1093,110.1331845,training
MG_303,95.70221898,training
MG_1127,90.74221973,training
MG_372,80.0377052,training
MG_1322,80.07899552,training
MG_369,89.47770378,training
MG_254,86.91512352,training
MG_1334,112.5667326,training
MG_915,104.8067337,training
MG_997,107.253185,training
MG_888,124.9047952,training
MG_385,99.71254095,training
MG_939,96.63641238,training
MG_1464,71.09844439,training
MG_765,83.09060797,training
MG_438,98.86092818,training
MG_1302,90.07770369,training
MG_1098,70.52053469,training
MG_879,64.92803006,training
MG_1480,124.2544727,training
MG_655,100.6673795,training
MG_1044,85.34480118,training
MG_708,120.1114056,training
MG_880,109.2970556,training
MG_1299,95.35383193,training
MG_677,83.57447886,training
MG_233,109.8235072,training
MG_139,101.9267342,training
MG_1101,70.65574662,training
MG_934,97.55512192,training
MG_444,100.409315,training
MG_855,102.9435082,training
MG_573,111.5267327,training
MG_1159,90.43254235,training
MG_1143,86.4067365,training
MG_556,95.98092861,training
MG_229,81.63512432,training
MG_982,108.5267332,training
MG_1421,89.17576834,training
MG_1204,90.60286491,training
MG_1118,97.17705746,training
MG_381,83.72544658,training
MG_99,89.52415539,training
MG_307,98.46398582,training
MG_761,93.54996124,training
MG_599,102.5254438,training
MG_1317,107.3215721,training
MG_1186,76.08633273,training
MG_432,101.1551214,training
MG_317,95.33928414,training
MG_883,70.15254048,training
MG_475,75.61964135,training
MG_225,82.82180632,training
MG_243,104.1654435,training
MG_109,84.15125297,training
MG_498,101.0235085,training
MG_1294,83.05705959,training
MG_741,86.82609128,training
MG_1192,89.11899416,training
MG_970,69.75125514,training
MG_366,90.08157466,training
MG_49,68.28802955,training
MG_176,61.67254668,training
MG_1395,78.83512474,training
MG_1227,93.25576773,training
MG_739,149.0364045,training
MG_181,87.19125252,training
MG_1408,102.9177018,training
MG_674,65.73319123,training
MG_1219,94.43254175,training
MG_988,100.8183472,training
MG_1494,92.52200215,training
MG_1184,48.32659017,training
MG_585,76.07383483,training
MG_492,80.56673738,training
MG_675,110.1177007,training
MG_322,84.67770451,training
MG_1472,71.49319036,training
MG_536,69.77706158,training
MG_1300,132.8015682,training
MG_337,98.05576701,training
MG_1247,97.58092837,training
MG_877,88.68802648,training
MG_992,109.142217,training
MG_157,84.0377046,training
MG_922,108.0893139,training
MG_458,120.2273766,training
MG_90,109.1577008,training
MG_259,59.16545028,training
MG_768,69.69255046,training
MG_660,94.88157394,training
MG_453,84.31254327,training
MG_386,97.66867029,training
MG_1190,81.30996308,training
MG_1425,70.46681003,training
MG_291,112.740668,training
MG_1342,106.3656639,training
MG_173,78.02738293,training
MG_769,86.81318806,training
MG_171,64.64157849,training
MG_470,105.916411,training
MG_534,118.7267316,training
MG_1254,123.9229127,training
MG_620,109.7654427,training
MG_1504,78.42996351,training
MG_1420,81.54996304,training
MG_1264,70.49448083,training
MG_1214,82.86704204,training
MG_650,103.3202823,training
MG_924,72.15383542,training
MG_1033,88.62092972,training
MG_63,105.008024,training
MG_401,103.0260888,training
MG_1014,113.9602807,training
MG_166,87.67383309,training
MG_123,100.2080247,training
MG_128,109.250604,training
MG_857,76.13577031,training
MG_530,92.14609047,training
MG_1078,97.12286392,training
MG_1195,107.7796365,training
MG_791,80.57062502,training
MG_1027,75.06222208,training
MG_786,91.95899373,training
MG_1438,73.62459125,training
MG_1050,107.8389913,training
MG_60,94.23125146,training
MG_1209,94.07625251,training
MG_202,101.3383472,training
MG_663,81.94222105,training
MG_1456,73.35899653,training
MG_819,80.97243805,training
MG_204,106.5925399,training
MG_777,85.35383343,training
MG_1260,88.037704,training
MG_1451,94.70867074,training
MG_764,83.70996272,training
MG_84,62.42738527,training
MG_435,81.95254363,training
MG_1217,110.8854425,training
MG_486,78.23641515,training
MG_996,108.9564105,training
MG_1116,76.05318967,training
MG_1288,50.23262478,training
MG_1229,100.5822182,training
MG_1028,113.4467324,training
MG_509,67.59376231,training
MG_91,110.1796362,training
MG_870,85.7451521,training
MG_859,77.91125391,training
MG_1059,98.74867013,training
MG_668,69.64495715,training
MG_1243,77.09577016,training
MG_968,42.53770295,training
MG_1212,122.766731,training
MG_696,113.9267324,training
MG_143,83.81060786,training
MG_1207,110.5202813,training
MG_693,114.1281052,training
MG_306,110.7370554,training
MG_1499,64.10480437,training
MG_551,100.9822182,training
MG_979,72.33513564,training
MG_574,115.9125385,training
MG_1415,74.10222223,training
MG_755,93.7667354,training
MG_129,83.06713743,training
MG_525,90.9486713,training
MG_595,97.99512185,training
MG_684,103.4712501,training
MG_295,102.6699599,training
MG_1484,107.5989914,training
MG_557,89.91512307,training
MG_531,104.9254434,training
MG_1271,90.94351002,training
MG_1281,78.1241571,training
MG_954,76.18867352,training
MG_328,94.81963846,training
MG_203,103.1551211,training
MG_189,61.51442625,training
MG_441,103.7357661,training
MG_277,106.1228626,training
MG_1106,106.7499592,training
MG_217,120.2699572,training
MG_334,81.02351151,training
MG_642,91.48544542,training
MG_357,80.99162265,training
MG_57,97.78737995,training
MG_927,100.8002827,training
MG_884,79.97835037,training
MG_399,98.12544442,training
MG_149,78.76286669,training
MG_1180,78.67899573,training
MG_186,98.71125078,training
MG_86,114.4222162,training
MG_760,92.94609036,training
MG_891,123.8441502,training
MG_1252,90.66212562,training
MG_1060,86.12286558,training
MG_678,95.9112512,training
MG_1198,84.227382,training
MG_436,98.27254117,training
MG_465,71.84931934,training
MG_800,109.138346,training
MG_866,78.08236223,training
MG_848,72.90996434,training
MG_781,85.19899475,training
MG_614,111.0777005,training
MG_451,64.93889638,training
MG_1055,99.03641202,training
MG_1284,96.75512204,training
MG_1321,94.20028372,training
MG_1115,76.06375559,training
MG_462,104.891895,training
MG_228,101.8957664,training
MG_50,102.8596373,training
MG_1477,107.4594562,training
MG_821,51.58867723,training
MG_863,85.6918979,training
MG_1455,126.7318917,training
MG_416,87.59254278,training
MG_809,96.40286403,training
MG_1274,110.3035071,training
MG_1089,107.4506043,training
MG_776,64.95125586,training
MG_1107,108.4918945,training
MG_305,92.58996138,training
MG_262,65.38480418,training
MG_160,93.21318709,training
MG_1500,89.91125211,training
MG_1071,70.4867389,training
MG_402,78.23670762,training
MG_177,85.65318823,training
MG_626,80.74867284,training
MG_960,95.47512224,training
MG_1436,86.41953278,training
MG_1193,110.59512,training
MG_1018,96.98588928,training
MG_797,69.29835198,training
MG_746,99.58221839,training
MG_1246,76.10530661,training
MG_738,100.8222182,training
MG_969,73.40139487,training
MG_1328,62.79963582,training
MG_1210,91.43641317,training
MG_1061,98.64415402,training
MG_1000,171.6196269,training
MG_1063,74.33964154,training
MG_643,96.05318667,training
MG_117,104.2957661,training
MG_938,96.44673499,training
MG_415,114.7215709,training
MG_477,95.28415452,training
MG_1263,76.48931865,training
MG_936,74.89706081,training
MG_710,119.7022154,training
MG_1121,76.26996383,training
MG_1108,97.64564624,training
MG_1297,112.0686681,training
MG_194,104.063508,training
MG_752,111.8751198,training
MG_1074,77.93577004,training
MG_421,80.14996325,training
MG_835,73.70738358,training
MG_137,104.8996369,training
MG_66,82.21576939,training
MG_347,86.10738171,training
MG_1023,83.17576925,training
MG_407,97.95254122,training
MG_1152,94.95899328,training
MG_197,84.4351239,training
MG_294,102.298347,training
MG_1337,79.28931822,training
MG_871,108.2441526,training
MG_151,74.71383504,training
MG_265,90.28286495,training
MG_1327,70.92802915,training
MG_711,87.96789992,training
MG_571,98.4815734,training
MG_834,96.24802535,training
MG_376,84.97189801,training
MG_1024,100.0686699,training
MG_929,100.8738311,training
MG_1040,106.2106045,training
MG_807,72.80157726,training
MG_559,99.08802492,training
MG_331,98.72157336,training
MG_579,89.15254254,training
MG_120,97.46738,training
MG_211,76.58738314,training
MG_1006,104.9151208,training
MG_75,105.3418472,training
MG_96,124.6906693,training
MG_942,82.47899516,training
MG_778,101.4931858,training
MG_406,91.04157452,training
MG_468,72.50222247,training
MG_850,72.66996438,training
MG_124,96.00802538,training
MG_793,114.5202807,training
MG_405,85.4209302,training
MG_68,110.0867329,training
MG_207,80.49705997,training
MG_1413,104.0170564,training
MG_896,109.5189911,training
MG_1470,105.6335024,training
MG_448,96.75512204,training
MG_478,82.37576937,training
MG_442,75.61189942,training
MG_770,111.0054425,training
MG_1010,90.78609068,training
MG_802,80.07125359,training
MG_1140,87.13963962,training
MG_698,116.3989901,training
MG_993,87.61207936,training
MG_724,83.45946051,training
MG_1036,87.41318797,training
MG_1199,92.31899368,training
MG_1156,69.36415842,training
MG_1444,102.8712502,training
MG_1315,106.0609271,training
MG_522,116.3112481,training
MG_644,75.25835108,training
MG_1046,112.2531842,training
MG_1220,81.85705977,training
MG_1022,77.25060885,training
MG_144,96.22867051,training
MG_906,105.8557658,training
MG_743,98.09060571,training
MG_1150,89.87753982,training
MG_1234,89.11899416,training
MG_974,73.96179554,training
MG_1242,111.850243,training
MG_1265,104.1254435,training
MG_962,88.70351035,training
MG_1185,70.33964215,training
MG_1057,83.85060785,training
MG_810,101.8131858,training
MG_813,88.00673626,training
MG_1318,61.45540286,training
MG_1096,108.3886687,training
MG_1320,105.5267336,training
MG_563,87.08802672,training
MG_354,82.57189837,training
MG_584,86.16415589,training
MG_403,85.80028498,training
MG_909,112.552539,training
MG_1459,80.07899552,training
MG_424,73.89060935,training
MG_817,76.95125405,training
MG_232,101.6325407,training
MG_79,91.16544546,training
MG_419,119.4699573,training
MG_558,98.85576689,training
MG_1478,103.7035081,training
MG_1445,84.36286584,training
MG_1130,102.7473792,training
MG_540,101.0131859,training
MG_1298,99.64157323,training
MG_1293,64.83899781,training
MG_191,85.49060761,training
MG_1203,102.4670907,training
MG_434,88.0725427,training
MG_541,98.46867018,training
MG_206,79.05492441,training
MG_1273,85.73834951,training
MG_554,78.94093117,training
MG_1151,92.0684803,training
MG_1005,64.16157856,training
MG_1268,79.66093107,training
MG_1447,69.53361902,training
MG_430,94.4583482,training
MG_1404,89.90351017,training
MG_897,75.09835111,training
MG_423,103.2273791,training
MG_682,82.58351127,training
MG_80,79.09964083,training
MG_1505,73.11383528,training
MG_717,75.28673818,training
MG_918,101.7564116,training
MG_1015,86.73705903,training
MG_836,92.31125174,training
MG_851,86.67512356,training
MG_515,80.30831603,training
MG_1240,78.77543971,training
MG_1091,106.7422173,training
MG_1250,93.59641284,training
MG_1147,84.94867221,training
MG_688,140.2699542,training
MG_1257,80.01060843,training
MG_324,94.74221912,training
MG_705,125.0699565,training
MG_787,86.09189784,training
MG_1177,97.76544447,training
MG_838,94.25834823,training
MG_1174,72.48157731,training
MG_516,98.19512183,training
MG_1249,98.78350884,training
MG_227,94.53060625,training
MG_568,73.90093193,training
MG_279,98.74737981,training
MG_179,93.54996124,training
MG_1017,78.20544741,training
MG_1431,80.58996318,training
MG_1163,76.10738321,training
MG_1221,68.54009281,training
MG_213,114.4996355,training
MG_916,98.93834752,training
MG_1182,81.10867278,training
MG_131,94.04544503,training
MG_148,86.11770429,training
MG_1343,117.5151189,training
MG_830,95.82608993,training
MG_150,82.43254355,training
MG_1266,109.1538299,training
MG_815,93.19899355,training
MG_1498,85.73060757,training
MG_473,83.83383366,training
